,Unnamed: 0,date,dunknumber,file_timestamp,Bracket Type,approx. Flume T [°C],Flow speed [cm/s],Turbine Speed,Bath T [°C],Bath Sat [%],In Bath [UTC],Caps on [UTC],In Flume [UTC],caps off [UTC],FLUME_REF_TEMP,FLUME_REF_TEMP_STD,FLUME_REF_PSAL,FLUME_REF_PSAL_STD,FLUME_REF_FLOWSPEED,aa3827_tau_phase,aa3827_tau_o2sat,aa3827_tau_doxy,aa3312_tau_phase,aa3312_tau_o2sat,aa3312_tau_doxy,aa3412_tau_phase,aa3412_tau_o2sat,aa3412_tau_doxy,aa3413_tau_phase,aa3413_tau_o2sat,aa3413_tau_doxy,rbr210619_tau_phase,rbr210619_tau_o2sat,rbr210619_tau_doxy,rbr210624_tau_phase,rbr210624_tau_o2sat,rbr210624_tau_doxy,pyro1_o2_tau_phase,pyro1_o2_tau_o2sat,pyro1_o2_tau_doxy,pyro2_o2_tau_phase,pyro2_o2_tau_o2sat,pyro2_o2_tau_doxy
0,0,02/08/2023,1,1675869127716.0,O2 Large,16.2,20.0,56.0,15.5,70.0,,,,,15.924296507936509,0.0016526805150596,30.472678412698407,0.0009398466716374,20.01,46.96697802807041,49.96882972531512,49.56831081772511,44.44099316966118,47.140780712119735,46.65443455266581,35.13000149486476,36.62754328948464,36.238051532028926,,,,,,,17.480802104440336,18.644239213959203,,,,,2.0963966442592064,2.0963966442592064,
1,1,02/08/2023,2,1675875872475.0,O2 Large,16.2,10.0,17.0,15.5,70.0,,,,,15.924296507936509,0.0016526805150596,30.472678412698407,0.0009398466716374,9.94,58.053979281109925,63.63041240471426,63.4672061806854,54.07140632906316,59.04870329249525,58.902127805403246,40.36775220511232,43.892451930380666,43.77772117361162,,,,22.72978333178038,24.895410640774973,,25.03184022717649,,,1.82768564636802,1.82768564636802,1.82768564636802,2.9010968378899884,2.9010968378899884,2.9010968378899884
2,2,02/08/2023,3,1675878965387.0,O2 Large,16.4,5.0,4.0,15.5,70.0,18:03,18:18,18:20,18:21,15.924296507936509,0.0016526805150596,30.472678412698407,0.0009398466716374,5.91,80.43328853975,86.93133401252679,86.80242375599097,,,,,,,58.7191886976411,63.59098133528307,63.49263307190765,27.420722090449093,29.147166670013224,29.087981096131323,,,,2.985902244580373,2.985902244580373,2.985902244580373,,,
3,3,02/09/2023,4,1675949888332.0,O2 Large,15.9,6.0,5.0,15.73,70.0,13:41,13:51,13:53,13:54,15.792349523809522,0.0007188337745715,30.48789111111111,0.0007669049549171,6.23,76.80579112061734,82.98922542242782,82.90062272398237,,,,53.48136739399502,57.59498911955803,57.511907832365225,58.33608353924915,62.991746063865584,62.87544501613631,,,,31.21408683509757,,,,,,,,
4,4,02/09/2023,5,1675951566380.0,O2 Large,15.8,6.0,5.0,15.8,70.0,14:06,14:16,14:19,14:20,15.795917142857144,0.0010151978907433,30.49046873015873,0.0007756349003327,6.23,,,,,,,52.71590777181963,56.878505680821846,56.81080927479064,59.55209304433468,64.31713912568419,64.22032868319397,27.196531763842444,29.2166595106715,29.20489555070917,30.140512870247456,32.348467681169915,,4.504111977087916,,,,,
5,5,02/09/2023,6,1675953496572.0,O2 Large,15.8,8.0,9.0,15.8,70.0,14:36,14:52,14:55,14:56,15.81019825396825,0.001033400980401,30.5161373015873,0.0013128143842362,7.5,66.51399632841049,72.57884898255239,72.53945138946634,,,,44.35725928020408,47.71815241721914,47.67022603268283,50.35650604360995,54.1549618335521,54.09985627844368,25.93208083367264,27.607676579811542,27.58955759625986,24.46403476968949,26.01553933104564,25.998530956985515,3.0114840168322385,3.0114840168322385,3.0114840168322385,2.571955703130831,2.571955703130831,2.571955703130831
6,6,02/09/2023,7,1675955397862.0,O2 Large,15.8,8.0,9.0,15.8,70.0,15:05,,15:20,15:21,15.817556984126984,0.0007316910938988,30.517419206349206,0.0009555830956322,7.5,67.22512523279364,73.69028408484901,73.66398095777436,,,,44.24053607947378,47.847443270135166,47.80772698653032,51.84619560240118,56.12169476514681,56.084127480499,23.41188461883561,25.318388406007337,25.310648205170214,23.775085449373123,25.587425370746303,25.57745405631591,,,,,,
7,7,02/09/2023,8,1675957380385.0,O2 Large,15.8,11.0,20.0,15.8,70.0,15:42,15:53,,,15.84903761904762,0.0008754304415827,30.51836698412698,0.0010215715172357,10.82,58.24544681273299,63.52370517164964,63.41164800899787,58.64115919240117,63.646518280602,63.52169205051774,38.15557813857744,41.16357106541706,41.08250889201385,42.31518124514408,45.53556132707463,45.43777429126104,,,,19.195300367426448,20.691637166934097,20.648581450742327,2.041074002782812,2.041074002782812,2.041074002782812,,,
8,8,02/09/2023,9,1675962214667.0,O2 Large,15.9,11.0,20.0,15.9,70.0,17:03,,,17:33,15.87634365079365,0.0013826186353269,30.52128142857143,0.0013857166584826,10.82,59.55819775263662,65.41777533573192,,55.15801002966455,60.15931052011839,60.069669205689785,38.5725163546234,41.86201792197829,41.79881687743698,42.77723852381105,46.220986769077655,46.164355452406994,23.362665844322635,,,20.163251588797667,21.920156584147957,21.89859646688468,2.4558770999872057,2.4558770999872057,2.4558770999872057,2.5594898710600207,2.5594898710600207,2.5594898710600207
9,9,02/09/2023,10,1675964867976.0,O2 Large,15.9,14.0,28.0,15.9,70.0,17:47,,,,15.913162380952382,0.0017681657739255,30.522334285714283,0.0013513070853814,13.07,54.6266278160861,59.616221654323006,,50.06299821169074,54.51152725549694,54.43247717820029,33.27296326747755,35.98690995603238,35.93100393959581,39.95466534455337,43.20646683622429,43.14693030088227,18.054938233737584,19.55644974267848,19.536162697740934,17.17093056114956,18.70265327622013,18.68613186111017,1.458611476315344,1.458611476315344,,,,
