,TEMP,VELO,PSAL,AA4330|WTW_TAU_PHASE,AA4330|WTW_TAU_O2SAT,AA4330|WTW_TAU_DOXY,AA4330_TAU_PHASE,AA4330_TAU_O2SAT,AA4330_TAU_DOXY,RBR|SLOW_TAU_PHASE,RBR|SLOW_TAU_O2SAT,RBR|SLOW_TAU_DOXY,PYRO-PICO_TAU_PHASE,PYRO-PICO_TAU_O2SAT,PYRO-PICO_TAU_DOXY
0,15.92,20.01,30.473,46.97,49.97,49.57,35.13,36.63,36.24,,,,,,
1,15.92,9.94,30.473,58.05,63.63,63.47,40.37,43.89,43.78,22.73,24.9,,1.83,1.83,1.83
2,15.92,5.91,30.473,80.43,86.93,86.8,,,,27.42,29.15,29.09,2.99,2.99,2.99
3,15.79,6.23,30.488,76.81,82.99,82.9,53.48,57.59,57.51,,,,,,
4,15.8,6.23,30.49,,,,52.72,56.88,56.81,27.2,29.22,29.2,4.5,,
5,15.81,7.5,30.516,66.51,72.58,72.54,44.36,47.72,47.67,25.93,27.61,27.59,3.01,3.01,3.01
6,15.82,7.5,30.517,67.23,73.69,73.66,44.24,47.85,47.81,23.41,25.32,25.31,,,
7,15.85,10.82,30.518,58.25,63.52,63.41,38.16,41.16,41.08,,,,2.04,2.04,2.04
8,15.88,10.82,30.521,59.56,65.42,,38.57,41.86,41.8,23.36,,,2.46,2.46,2.46
9,15.91,13.07,30.522,54.63,59.62,,33.27,35.99,35.93,18.05,19.56,19.54,1.46,1.46,
10,15.93,13.07,30.523,50.06,54.87,54.85,33.35,36.1,36.08,18.09,19.74,19.8,1.93,1.93,1.93
11,15.95,17.21,30.524,42.27,46.4,46.36,,,,18.58,,,,,
12,15.97,17.21,30.525,,,,29.01,31.43,31.39,17.56,18.8,18.78,1.88,1.88,1.88
13,16.03,24.39,30.525,,,,,,,15.92,17.09,,,,
14,16.08,24.39,30.526,35.71,38.97,38.95,,,,15.46,16.82,16.72,1.27,1.27,1.27
15,16.36,6.23,30.539,84.93,78.45,78.75,56.27,52.71,53.0,29.48,27.87,27.91,3.27,3.27,3.27
16,16.38,6.23,30.539,79.9,74.16,74.39,53.86,50.22,50.58,30.57,29.04,29.08,3.25,3.25,3.25
17,16.41,10.82,30.539,,,,42.57,39.77,39.9,22.67,21.44,21.47,2.08,2.08,2.08
18,16.42,10.82,30.54,,,,41.72,39.12,39.17,23.02,21.63,21.62,1.43,,
19,16.53,24.39,30.536,39.62,36.83,37.05,,,,,,,1.67,1.67,1.67
20,16.61,24.39,30.541,42.36,39.35,39.51,26.35,,,15.11,14.34,14.38,1.82,1.82,1.82
66,6.54,6.23,30.724,,,,62.23,63.97,62.2,29.76,30.74,30.06,3.43,3.43,3.43
